Name,Short Name,Type,Family,Tradition,General Personality,major_id,Major Name,floor_id,Wing,Room,Class Schedule,Wing Name,Flight Name
,,Green,chromatic,arcane,obessive and meticulous scholars,12,Elemental Binding,2,Empyrean,,,,
,,Green,chromatic,arcane,obessive and meticulous scholars,11,Arcanomechanics,7,Starlight,,,,
,,Paradise,planar,divine,defender and champion of righteousnous,10,Eldritch Engineering,9,Nexus,,,,
,,White,chromatic,arcane,brutish and predatory survivalists,11,Arcanomechanics,16,Wildfire,,,,
,,Crypt,planar,divine,independent & decisive,5,Mineral Extraction & Refinement,20,Whisper,,,,
,,Brass,metallic,arcane,curious & short attention span,8,Political Intrigue and Diplomacy,18,Enigma,,,,
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,1,Prophecy,20,Whisper,,,,
,,Umbral,primal,primal,malicious hunters of the undead,10,Eldritch Engineering,3,Stellar,,,,
,,Cerulean,wild,arcane,explorers and adventurers,9,Magical Theory and Application,16,Wildfire,,,,
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,12,Elemental Binding,2,Empyrean,,,,
,,Copper,metallic,arcane,prankster & hedonist,6,Arcane Artifice and Enchantment Studies,13,Nova,,,,
,,Brass,metallic,arcane,curious & short attention span,6,Arcane Artifice and Enchantment Studies,12,Whirlwind,,,,
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,7,Planar Studies,5,Nebula,,,,
,,Indigo,wild,arcane,party going revelers,6,Arcane Artifice and Enchantment Studies,18,Enigma,,,,
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",4,Economic Dominance and Resource Management,12,Whirlwind,,,,
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,2,Dragon History,11,Sunfire,,,,
,,Amber,wild,arcane,gossip & information broker,1,Prophecy,13,Nova,,,,
,,Brass,metallic,arcane,curious & short attention span,8,Political Intrigue and Diplomacy,13,Nova,,,,
,,Sky,imperial,divine,religious traditionalist,9,Magical Theory and Application,5,Nebula,,,,
,,Copper,metallic,arcane,prankster & hedonist,1,Prophecy,16,Wildfire,,,,
,,White,chromatic,arcane,brutish and predatory survivalists,11,Arcanomechanics,16,Wildfire,,,,
,,Red,chromatic,arcane,proud and arrogant,4,Economic Dominance and Resource Management,3,Stellar,,,,
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,5,Mineral Extraction & Refinement,11,Sunfire,,,,
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,8,Political Intrigue and Diplomacy,8,Wraith,,,,
,,Gold,metallic,divine,wise counselor and leader,6,Arcane Artifice and Enchantment Studies,9,Nexus,,,,
,,Gold,metallic,divine,wise counselor and leader,2,Dragon History,9,Nexus,,,,
,,Topaz,jewel,arcane,selfish and unsociable,5,Mineral Extraction & Refinement,3,Stellar,,,,
,,Brass,metallic,arcane,curious & short attention span,5,Mineral Extraction & Refinement,11,Sunfire,,,,
,,Red,chromatic,arcane,proud and arrogant,5,Mineral Extraction & Refinement,12,Whirlwind,,,,
